x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.008871,0.051129,0.068058,1.166800,3299.873,800.000,1.382148,7714.793,19285999.826
0.009226,0.050774,0.069017,1.166800,3299.869,800.000,1.382144,7812.088,19529195.168
0.009580,0.050420,0.069997,1.166800,3299.865,800.000,1.382140,7911.304,19777192.723
0.009935,0.050065,0.070998,1.166800,3299.861,800.000,1.382136,8012.493,20030122.018
0.010290,0.049710,0.072021,1.166800,3299.857,800.000,1.382132,8115.710,20288117.023
0.010645,0.049355,0.073067,1.166800,3299.853,800.000,1.382127,8221.009,20551316.332
0.011000,0.049000,0.074135,1.166800,3299.849,800.000,1.382123,8328.449,20819863.359
0.011355,0.048645,0.075227,1.166800,3299.844,800.000,1.382118,8438.088,21093906.543
0.011709,0.048291,0.076344,1.166800,3299.840,800.000,1.382113,8549.988,21373599.559
0.012064,0.047936,0.077485,1.166800,3299.835,800.000,1.382108,8664.213,21659101.545
0.012419,0.047581,0.078653,1.166800,3299.830,800.000,1.382102,8780.829,21950577.336
0.012774,0.047226,0.079848,1.166800,3299.825,800.000,1.382097,8899.903,22248197.716
0.013129,0.046871,0.081070,1.166800,3299.819,800.000,1.382091,9021.508,22552139.672
0.013484,0.046516,0.082320,1.166800,3299.814,800.000,1.382085,9145.717,22862586.674
0.013838,0.046162,0.083600,1.166800,3299.808,800.000,1.382079,9272.605,23179728.961
0.014193,0.045807,0.084911,1.166800,3299.802,800.000,1.382073,9402.251,23503763.847
0.014548,0.045452,0.086252,1.166800,3299.795,800.000,1.382066,9534.739,23834896.035
0.014903,0.045097,0.087626,1.166800,3299.789,800.000,1.382059,9670.152,24173337.961
0.015258,0.044742,0.089034,1.166800,3299.782,800.000,1.382052,9808.579,24519310.144
0.015613,0.044387,0.090476,1.166800,3299.775,800.000,1.382044,9950.113,24873041.560
0.015967,0.044033,0.091953,1.166800,3299.767,800.000,1.382036,10094.847,25234770.038
0.016322,0.043678,0.093467,1.166800,3299.760,800.000,1.382028,10242.881,25604742.677
0.016677,0.043323,0.095020,1.166800,3299.752,800.000,1.382020,10394.319,25983216.282
0.017032,0.042968,0.096611,1.166800,3299.743,800.000,1.382011,10549.266,26370457.828
0.017387,0.042613,0.098244,1.166800,3299.735,800.000,1.382002,10707.835,26766744.953
0.017742,0.042258,0.099919,1.166800,3299.725,800.000,1.381992,10870.140,27172366.471
0.018096,0.041904,0.101637,1.166800,3299.716,800.000,1.381982,11036.303,27587622.921
0.018451,0.041549,0.103401,1.166800,3299.706,800.000,1.381971,11206.449,28012827.146
0.018806,0.041194,0.105211,1.166800,3299.696,800.000,1.381960,11380.708,28448304.903
0.019161,0.040839,0.107070,1.166800,3299.685,800.000,1.381949,11559.216,28894395.514
0.019516,0.040484,0.108980,1.166800,3299.673,800.000,1.381937,11742.115,29351452.548
0.019871,0.040129,0.110941,1.166800,3299.662,800.000,1.381924,11929.553,29819844.552
0.020225,0.039775,0.112957,1.166800,3299.649,800.000,1.381911,12121.683,30299955.818
0.020580,0.039420,0.115029,1.166800,3299.636,800.000,1.381897,12318.667,30792187.205
0.020935,0.039065,0.117160,1.166800,3299.623,800.000,1.381883,12520.673,31296957.001
0.021290,0.038710,0.119351,1.166800,3299.608,800.000,1.381868,12727.874,31814701.846
0.021645,0.038355,0.121605,1.166800,3299.594,800.000,1.381852,12940.455,32345877.712
0.021999,0.038001,0.123925,1.166800,3299.578,800.000,1.381836,13158.606,32890960.939
0.022354,0.037646,0.126313,1.166800,3299.561,800.000,1.381818,13382.527,33450449.339
0.022709,0.037291,0.128772,1.166800,3299.544,800.000,1.381800,13612.427,34024863.375
0.023064,0.036936,0.131305,1.166800,3299.526,800.000,1.381781,13848.524,34614747.408
0.023419,0.036581,0.133914,1.166800,3299.507,800.000,1.381761,14091.046,35220671.032
0.023774,0.036226,0.136604,1.166800,3299.487,800.000,1.381739,14340.234,35843230.491
0.024128,0.035872,0.139378,1.166800,3299.466,800.000,1.381717,14596.337,36483050.189
0.024483,0.035517,0.142239,1.166800,3299.444,800.000,1.381694,14859.618,37140784.309
0.024838,0.035162,0.145190,1.166800,3299.421,800.000,1.381669,15130.353,37817118.531
0.025193,0.034807,0.148237,1.166800,3299.396,800.000,1.381643,15408.829,38512771.868
0.025548,0.034452,0.151384,1.166800,3299.370,800.000,1.381616,15695.352,39228498.637
0.025903,0.034097,0.154634,1.166800,3299.343,800.000,1.381587,15990.237,39965090.549
0.026257,0.033743,0.157993,1.166800,3299.314,800.000,1.381556,16293.820,40723378.960
0.026612,0.033388,0.161466,1.166800,3299.284,800.000,1.381524,16606.451,41504237.271
0.026967,0.033033,0.165058,1.166800,3299.252,800.000,1.381490,16928.499,42308583.504
0.027322,0.032678,0.168775,1.166800,3299.218,800.000,1.381454,17260.353,43137383.050
0.027677,0.032323,0.172623,1.166800,3299.182,800.000,1.381415,17602.421,43991651.632
0.028032,0.031968,0.176609,1.166800,3299.144,800.000,1.381375,17955.133,44872458.464
0.028386,0.031614,0.180740,1.166800,3299.103,800.000,1.381332,18318.942,45780929.659
0.028741,0.031259,0.185023,1.166800,3299.061,800.000,1.381287,18694.326,46718251.874
0.029096,0.030904,0.189467,1.166800,3299.015,800.000,1.381238,19081.789,47685676.229
0.029451,0.030549,0.194079,1.166800,3298.967,800.000,1.381187,19481.862,48684522.525
0.029806,0.030194,0.198869,1.166800,3298.915,800.000,1.381132,19895.107,49716183.772
0.030161,0.029839,0.203847,1.166800,3298.860,800.000,1.381074,20322.117,50782131.064
0.030515,0.029485,0.209024,1.166800,3298.802,800.000,1.381012,20763.518,51883918.819
0.030870,0.029130,0.214411,1.166800,3298.740,800.000,1.380946,21219.975,53023190.433
0.031225,0.028775,0.220021,1.166800,3298.673,800.000,1.380875,21692.188,54201684.349
0.031580,0.028420,0.225867,1.166800,3298.602,800.000,1.380799,22180.901,55421240.614
