x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.014424,0.033576,0.124621,1.166800,3299.573,800.000,1.381830,2962.567,7405152.658
0.014687,0.033313,0.126625,1.166800,3299.559,800.000,1.381816,3004.648,7510296.247
0.014949,0.033051,0.128679,1.166800,3299.545,800.000,1.381801,3047.666,7617777.462
0.015211,0.032789,0.130784,1.166800,3299.530,800.000,1.381785,3091.648,7727667.241
0.015473,0.032527,0.132943,1.166800,3299.514,800.000,1.381768,3136.625,7840039.255
0.015736,0.032264,0.135156,1.166800,3299.498,800.000,1.381751,3182.627,7954970.036
0.015998,0.032002,0.137427,1.166800,3299.481,800.000,1.381733,3229.686,8072539.106
0.016260,0.031740,0.139756,1.166800,3299.463,800.000,1.381714,3277.835,8192829.124
0.016522,0.031478,0.142146,1.166800,3299.445,800.000,1.381694,3327.109,8315926.034
0.016785,0.031215,0.144600,1.166800,3299.426,800.000,1.381674,3377.544,8441919.221
0.017047,0.030953,0.147119,1.166800,3299.405,800.000,1.381653,3429.176,8570901.683
0.017309,0.030691,0.149706,1.166800,3299.384,800.000,1.381630,3482.046,8702970.199
0.017571,0.030429,0.152364,1.166800,3299.362,800.000,1.381607,3536.192,8838225.525
0.017834,0.030166,0.155095,1.166800,3299.339,800.000,1.381583,3591.658,8976772.584
0.018096,0.029904,0.157902,1.166800,3299.315,800.000,1.381557,3648.488,9118720.677
0.018358,0.029642,0.160789,1.166800,3299.290,800.000,1.381530,3706.726,9264183.706
0.018620,0.029380,0.163757,1.166800,3299.264,800.000,1.381502,3766.422,9413280.402
0.018883,0.029117,0.166812,1.166800,3299.236,800.000,1.381473,3827.624,9566134.579
0.019145,0.028855,0.169955,1.166800,3299.207,800.000,1.381442,3890.384,9722875.390
0.019407,0.028593,0.173191,1.166800,3299.177,800.000,1.381410,3954.758,9883637.610
0.019669,0.028331,0.176523,1.166800,3299.145,800.000,1.381376,4020.800,10048561.927
0.019932,0.028068,0.179956,1.166800,3299.111,800.000,1.381340,4088.572,10217795.259
0.020194,0.027806,0.183494,1.166800,3299.076,800.000,1.381303,4158.133,10391491.080
0.020456,0.027544,0.187142,1.166800,3299.039,800.000,1.381264,4229.550,10569809.775
0.020719,0.027281,0.190904,1.166800,3299.000,800.000,1.381222,4302.889,10752919.015
0.020981,0.027019,0.194785,1.166800,3298.959,800.000,1.381179,4378.221,10940994.154
0.021243,0.026757,0.198791,1.166800,3298.916,800.000,1.381133,4455.619,11134218.648
0.021505,0.026495,0.202928,1.166800,3298.871,800.000,1.381085,4535.163,11332784.505
0.021768,0.026232,0.207202,1.166800,3298.823,800.000,1.381034,4616.931,11536892.764
0.022030,0.025970,0.211619,1.166800,3298.772,800.000,1.380980,4701.011,11746754.001
0.022292,0.025708,0.216187,1.166800,3298.719,800.000,1.380923,4787.489,11962588.865
